book_id,Title,Authors,Description,Category
8522,Bingo Night at the Fire Hall: Rediscovering Life in an American Village,"By Holland, Barbara","A humorous portrait of the author's life in the Virginia Blue Ridge Mountains details a small town where everyone gets along and her adventures there, which include finding shelter in a bar during a blizzard and writing obituaries for the local paper."," History , United States , State & Local , General"
8523,Lower Your Cholesterol in 30 Days,"By Cheraskin, E., Orenstein, Neil S., and Miner, Paul L.","Outlines an easy-to-follow diet plan for lowering blood-cholesterol levels and includes menus, shopping lists, and more than thirty recipes"," Health & Fitness , General"
8524,"Flowers for All Seasons: A Guide to Colorful Trees, Shrubs and Vines","By Cox, Jeff and Cox, Marilyn","Features landscaping tips, a month-to-month guide to flowering plants, and charts highlighting more than three hundred colorful plants"," Gardening , General"
8525,Annuals,"By Walheim, Lance","Illustrates and offers information on over one hundred different annuals, with tips on planting, watering, fertilizing, and pest control"," Gardening , Flowers , Annuals"
8526,The Eagle and the Rose: A Remarkable True Story,"By Altea, Rosemary","The story of a gifted medium describes Rosemary Altea's ten experiences with the afterlife and introduces her spirit familiar, a Native American ghost who taught her how to heal, astral-travel, and perform soul rescues. BOMC & QPB Alt. Tour."," Body, Mind & Spirit , General"
8527,Where's My Teddy?,"By Alborough, Jez and Alborough, Jez (ILT)","Yikes!  Eddie's in for the surprise of his life when he discovers that his teddy bear has grown much too big to cuddle!  But there's fun in store when Eddie meets up with a real bear who's got just the opposite problem—his lost teddy bear has shrunk to a size that's much too small for such an enormous bear to cuddle.  Could it be a case of mistaken identity?  This fast-paced comedy of errors, illustrated with Jez Alborough's quirky artwork, is guaranteed to have children—and bears alike—reaching for their teddies!"," Juvenile Fiction , Toys, Dolls & Puppets"
8528,Training the Body to Cure Itself: How to Use Exercise to Heal,"By Prevention Magazine Health Books (COR) and Feinstein, Alice (EDT)","The authors of The Doctors Book of Home Remedies show how to use exercise to heal back pain, arthritis, bursitis, stress, headaches, and more serious ailments, such as heart disease, cancer, and diabetes."," Self-help , Personal Growth , General"
8529,West Point Fitness and Diet Book,"By Cohen, Martin and Anderson, James Lee","A personal conditioning program adapted from the Military Academy's famous fitness methods, provides chronologically arranged exercise programs for all ages, a weight-control plan, and special exercises"," Medical , General"
8530,How to Avoid Falling: A Guide for Active Aging and Independence,"By Fredrikson, Eric","Staying active without fear of falling.    The danger of falling increases substantially with age. This is especially true in developed countries where aging populations tend toward comfortable, inactive lifestyles.     How to Avoid Falling is a practical, non-technical guide to minimizing the occurrence of falls as well as their devastating effects.    The book recommends taking stock of one's current level of health, physical abilities, ongoing medical concerns and current medication. It covers the risk factors of falling, how to alleviate them, as well as some general practices for living a healthy life.     Exercise is key, especially walking every day. There are fitness and balance exercises that will improve health and a sense of well-being.     Fall-proofing a home is also covered, as is being aware of the best way to            respond to hazardous situations such as icy or slippery conditions.    A final section describes what to do after a fall starting with how to safely get up again, regaining confidence, as well as how to choose canes and walkers."," Medical , Geriatrics"
8531,Modern Paint Effects: A Guide to Contemporary Paint Finishes from Inspiration to Technique,"By Sloan, Annie","Modern Paint Effects is a colorful exploration of the newest paint products and how to use them to achieve exciting effects in the home.     Illustrated with dozens of specially commissioned full color photographs, Modern Paint Effects is materials-based and technique-oriented and opens with a detailed examination of the newest materials:Pearlized Paint;  Matte Paint;  Glossy Glaze Paint;  Metallic Paint;  Sparkly Paint;  Graphite Paint;  Mid-sheen Paint;  Marmorino.    Annie Sloan then demonstrates various decorative techniques using the new paint products, suggesting innovative applications and dynamic color combinations including:Colorwashing;  Sparkle paint;  Combing;  Sponge rollers;  Dragging;  Spotted stone;  Glazing checks;  Stamping;  Hand-painted stripes;  Stencilling and reverse stencilling;  High gloss paints;  Incising;  Stippling;  Masking;  Using a            long-pile roller;  Matte paints;  Using crackle medium;  Rubbing back;  Using pattern and (distressing) texture;  Semi gloss paintsand many more.    A glossary and a list of suppliers of these new products round out this excellent and inspirational decorating resource."," House & Home , Remodeling & Renovation"
8532,Sports Bloopers: All-star Flubs and Fumbles,"By Wilson, Brad and Huebner, Mark","Professional athletes at their worst.    Athletes are highly trained individuals whose superior conditioning, reflexes, and talents allow them to run, throw, skate, catch, aim, jump, and perform better than anyone else. That's why we enjoy the brief, fleeting moments when they perform more like mortal creatures.    Sports Bloopers is a collection of over 150 photographs that capture athletes in the most outrageous blunders, pratfalls, and slip-ups ever seen.    Highly recognizable athletes such as Derek Jeter and Robin Ventura make an appearance in Sports Bloopers.    Everyone makes mistakes. But not everyone makes them in front of millions of viewers. Sports fans of all ages will enjoy the antics and unexpected moments caught forever by some of the world's best sports photographers.    Almost every            professional and amateur sport is represented here including football, basketball, hockey, track and field, baseball, golf, auto racing, and soccer."," Sports & Recreation , General"
8533,The Graywolf Annual Five: Multi-Cultural Literacy,"By Walker, Scott and Rick, Simonsen (EDT)","The issue of cultural literacy has been the subject of intense debate in the past two years. Several bestselling books about the deficiencies of our educational system as well as changes in basic curriculum at more than one major university have contributed to the fervor of this debate.Fueling the national controversy is the question of what body of knowledge constitutes cultural literacy. While many argue for a return to a ""back to basics"" curriculum, equally energetic voices call for a revised curriculum, one which embraces both traditional western classics and the classics of non-European cultures, among them African, Asian, and Latin American.This volume brings together thirteen essays which suggest the range of knowledge truly literate individuals need to possess. Essays by such writers as James Baldwin, Carlos Fuentes, Michelle Cliff, Paula Gunn Allen, Ishmael Reed, and Wendell Berry enlarge our perspective to include a variety of voices and heritages which contribute to the vibrant culture of the United States.Also included is a beginning list of names, places, dates, and concepts which are part and parcel of a multi-cultural fabric."," Literary Collections , Essays"
8534,College Faith: 150 Christian Leaders and Educators Share Faith Stories from Their Student Days,"By Knott, Ronald Alan (EDT)","More than 60 college, university, and seminary presidents, and an outstanding roster of administrators, professors, and other Christian thought leaders, share moving and instructive personal stories of how God led them while they themselves were students in higher education."," Religion , Devotional"
8535,The Choose to Lose Diet: A Food Lover's Guide to Permanent Weight Loss,"By Goor, Ron, Goor, Nancy, and Boyd, Katherine",Presents an innovative new approach to losing weight that is based on a modification of the fat intake in one's present diet," Health & Fitness , Diet & Nutrition , Diets"
8536,The High-Energy Cookbook,"By Sheasby, Anne","More than seventy tasty recipes focus on achieving maximum health benefits without giving up flavor, with such scrumptious dishes as Herbed Chicken Beanpot, Lamb and Lentil Casserole, and Apricot and Date Chewy Bars."," Cooking , Health & Healing , General"
8537,Hot Sky at Midnight,"By Silverberg, Robert","At Samurai Industries, Paul Carpenter studies his computer monitors to predict the movement of toxic clouds drifting across the Pacific Northwest. If he's wrong, a sudden shift of wind can kill thousands. Nick Rhodes, a research scientist for the controversial Santachiara Technologies' Survival/Modification Program, seeks better ways for humans to adapt to Earth's hostile environment. His girlfriend, Isabelle Martine, is a kinetic therapist and political activist, violently opposed to the threatening new technology. They are among those who have opted to stay behind, scratching out a perilous existence on a poisoned planet where no one dares leave home without a face-lung and a daily injection of Screen.But there are others who have traveled from Earth to the shining satellite cities in the sky. Among these is Victor Farkas who has come to Valparaiso Nuevo in search of a mad and brilliant scientist. Here in a world of fugitives ruled by the tyrannical El Supremo and his secret police, Farkas and his ""guide"" Juanito Holt will seek the man whose experimentation blinded him in the womb and yet endowed him with incredible extrasensory vision.Meanwhile, disturbing rumors have arisen about the ultimate fate of humanity: that a powerful Japanese megacorporation is promoting a top-secret project to send humans permanently to the stars. That a group of conspirators from ravaged Southern California is planning a bloody coup d'etat on Valparaiso Nuevo. That a rival corporation is funding biological research that will alter human genes and create a race of supercreatures to inhabit the dying planet."," Fiction , Science Fiction , General"
8538,Vittorio the Vampire: New Tales of the Vampires,"By Rice, Anne","With Pandora, Anne Rice began a magnificent new series of vampire novels. Now, in the second of her New Tales of the Vampires, she tells the mesmerizing story of Vittorio, a vampire in the Italian Age of Gold. Educated in the Florence of Cosimo de' Medici, trained in knighthood at his father's mountaintop castle, Vittorio inhabits a world of courtly splendor and country pleasures--a world suddenly threatened when his entire family is confronted by an unholy power.In the midst of this upheaval, Vittorio is seduced by the vampire Ursula, the most beautiful of his supernatural enemies. As he sets out in pursuit of vengeance, entering the nightmarish Court of the Ruby Grail, increasingly more enchanted (and confused) by his love for the mysterious Ursula, he finds himself facing demonic adversaries, war and political intrigue.Against a backdrop of the wonders--both sacred and profane--and the beauty and ferocity of Renaissance Italy, Anne Rice creates a passionate and tragic legend of doomed young love and lost innocence."," Fiction , Horror"
8539,2061: Odyssey Three,"By Clarke, Arthur C.","Centenarian Heywood Floyd, survivor of two encounters with mysterious monoliths, once again confronts Dave Bowman, an independent HAL, and an unseen alien race"," Fiction , Science Fiction , General"
8540,The Coming (Ace Science Fiction),"By Haldeman, Joe","Astronomy professor Aurora ""Rory"" Bell gets a message from space that seems to portend the arrival of extraterrestrial visitors. According to her calculations, whoever is coming will arrive in three months - on New Year's Day, to be exact...A crowded and poisoned Earth is moving toward the brink of the last world war - and is certainly unprepared to face invasion of any kind. But the more Rory investigates, the more she doubts the authenticity of the transmission. If the message is an elaborate hoax, who's behind it, and why? Now that the impending ""visit"" has taken on a media life of its own, no one cares anymore what Dr. Bell has to say about it. And so the world waits. But the questions remains as to what, exactly, everyone is waiting for."," Fiction , Science Fiction , Action & Adventure"
8541,Demons of the Dancing Gods,"By Chalker, Jack L.","In Husaquahr, behind the cloak of seeming peace, evil was stirring again as the Dark Baron plotted with a Demon Prince to bring about Armageddon. Master Sorcerer Throckmorton P. Ruddygore could only trust one man with the mission of spying upon the evil villians: Joe. The only problem was, Joe had just been bitten by a weredog . . ."," Fiction , Science Fiction , General"
8542,Cruel Doubt,"By McGinniss, Joe","A terrifying true-crime classic about a North Carolina housewife who, after narrowly surviving a nighttime attack that claims the life of her husband, must confront her worst fear about the tragedy--that her own 21-year-old son may have been the brutal attacker."," Social Science , General"
8543,The Legacy: A Novel,"By Frey, Stephen W.","Financially strapped Cole Egan is banking all he has on his future at Gilchrist & Company, one of New York's most powerful brokerage houses. Everything changes when he receives a telephone call from a stranger, informing him that his father is dead. His legacy is even more disturbing: a key to a safe deposit box that contains a secret tape of the John F. Kennedy assassination, filmed from the other side of Dealey Plaza. What is shown taking place on the grassy knoll proves beyond a doubt that a second killer was involved.Then the tape disappears. Enlisting the help of his childhood friend, beautiful Nicki Anderson, Cole plunges into a desperate search for answers about his father, his family, and the secrets that have blackened a nation's soul for over thirty years.The hunter becomes the hunted when operatives of a super-secret agency buried deep in the Defense Department embark on a killing mission sanctioned by Operation Snowfall, a shadowy organization that trades in disinformation and death.But it is only a small part of a much larger conspiracy linked to a powerful family's controlling interests in unions and the illegal drug trade - one that reaches all the way to the President himself. Cole's only hope of survival is to find the tape and get it into the public arena at last ... before the truth about what really happened that long-ago day in Dallas is buried forever."," Fiction , Thrillers , General"
8544,Great Books for Girls,"By Odean, Kathleen","The first reference of its kind, Great Books for Girls is an invaluable list of more than six hundred titles--picture books, novels, mysteries, biographies, folktales, sports books, and more--that will encourage, challenge, and ultimately nurture in girls the strong qualities our culture so often suppresses.  Kathleen Odean, a librarian and former member of the prestigious Caldecott and Newbery Award committees, has gathered and annotated a list of books starring bold, confident heroines for children from toddlers to age fourteen.  Here are old favorites such as Eloise, Harriet the Spy, Mrs.  Basil E. Frankweiler, and Ramona the Pest; new inspirations such as Cinder Edna, Sheila Rae the Brave, Herculeah Jones, and Princess Smartypants; and real-life admirable women such as Eleanor of Aquitaine, Jane Goodall, Toni Morrison, Eleanor Roosevelt, and Helen Keller.In these books, girls and women are creative, capable, articulate, and intelligent, solving problems, facing challenges, resolving conflicts, and going on quests.  They are not sidekicks or tokens, waiting to be rescued; they are doing the rescuing.  Nor are they waiting for a male to provide a happy ending; they are fashioning their own stories and their own endings.  Packed with expert guidance,Great Books for Girls is an essential volume that will give girls of all ages the power of hope."," Literary Criticism , Books & Reading"
8545,Angel Voices,"By Goldman, Karen and D'Agostino, Anthony (ILT)","A companion volume to the best-selling The Angel Book provides readers with a more sophisticated and deeper look at humans' relationships with angels. 100,000 first printing."," Religion , General"
8546,365 Ways to Save Money,"By Hedrick, Lucy H.","The author of 365 Ways to Save Time combines her expertise with advice from finance planners, outlet owners, travel agents, and others to help readers get the most value for their money. Original. 35,000 first printing."," Business & Economics , General"
8547,Now That I Believe,"By Cook, Robert A.","Dealing with the basics of the Christian life, this simple, informal book  offers counsel from both the biblical text and human experience. More than 1,000,000  copies in print."," Religion , Biblical Studies , General"
8548,War,"By Dyer, Gwynne",Traces the history of warfare from ancient times to the present and analyzes war as a part of society," History , Military , General"
8549,"The Line of Fire: From Washington to the Gulf, the Politics and Battles of the New Military","By Crowe, William J., Jr.","On September 19, 1992, Admiral William J. Crowe, Jr., made headlines with his endorsement of Democrat Bill Clinton as President of the United States. Washington took sharp notice: Crowe, a staunch advocate of military strength, had served for four years - under both Presidents Reagan and Bush - as Chairman of the Joint Chiefs of Staff. As the top-ranking officer in the American military, he held all of its branches and forces, outposts from the South Pacific to the North Atlantic, from Antarctica to Central America, under the sweep of his command. To this day, many Clinton strategists perceive Crowe's endorsement and his subsequent work for Clinton as one of the campaign's turning points.It was an unexpected move. But Washington, luckily, had learned to expect surprises from the candid, witty Oklahoman whose tenure as commander was marked by an openness to change rarely encountered in the military hierarchy's upper ranks.As his memoir, The Line of Fire, makes clear, quick change has been a constant in Crowe's career - a fast flight up the chain of command that began just after World War II at the height of the Cold War, reaching its apex with the thaw and the beginning of a new era in foreign relations. Few military men's careers provide such a vantage on so many momentous transitions and events: women in the ranks; the new high-tech range of weaponry and machinery; and the rise of a new breed of military leader, men like Crowe himself, trained in the halls of Congress as well as on the battlefield. Crowe shows where the military has been - and where it must go.He takes us into the secret world of the Pentagon, where we see the sophisticated war games staged by the highest officials in the land. He takes us inside the story of the build-up of tensions in the Gulf, explaining what we have never really understood about the accidental shoot-down of an Iranian Airbus by the cruiser Vincennes and about the U.S. raid on Libya (why we never intended to kill Qaddafi; why Caspar Weinberger would never admit that the U.S. did hit the French embassy). Admiral Crowe shows us the most significant military and political events of the last decade as we have never seen them before.Crowe explains why nuclear weapons are our least effective defense; takes a critical look at Desert Storm (an ideal battle situation); speculates on the ending of the Cold War (George Bush was only one of the many contributors); and tells the story of his special friendship with Marshal of the Soviet Union Sergei Akhromeyev (the Soviet chief of staff), who shared many of his concerns about the future of nuclear weapons and U.S.-Soviet relations.As never before, Crowe's memoir explains the world of political maneuvering that lies behind military decision-making. From the battlefield to Capitol Hill, Crowe gives a candid, always interesting look at modern military life - and his concerns for our future."," Political Science , General"
8550,Golden Buddha (The Oregon Files),"By Cussler, Clive and Dirgo, Craig","In the first novel in the #1 New York Times bestselling Oregon Files series, Chairman Juan Cabrillo and his crew are hired by the US government to free Tibet from Chinese control...The Corporation, a group of highly intelligent and skilled mercenaries, under the leadership of Juan Cabrillo, board a brand new ship. It's a state-of-the-art seagoing marvel with unthinkable technology at its disposal. And it's designed to look like a rusty old lumber hauler. But if Cabrillo and his team plan to make this spy ship their new headquarters, their first mission had better be a success.With the secret backing of the US government, Cabrillo sets out to put Tibet back in the hands of the Dalai Lama by striking a deal with the Russians and the Chinese. His main negotiating chip is knowledge of a golden Buddha containing records of vast oil reserves in the disputed land. But first, he'll have to locate—and steal—the all-important artifact. And there are certain people who would do anything in their power to see him fail..."," Fiction , War & Military"
8551,Criminal Conversation,"By Hunter, Evan","""Just you,"" Andrew Farrell says, when Sarah Welles asks him what he wants of her. ""Just you.""But long before she finally gives in to Andrew, long before she walks up those steps into the mysterious world of his woodpaneled office, long before she feels his naked body against hers, Sarah knows she has already chosen to betray her husband and her marriage.Adultery will be the least of her crimes.Making forbidden love to Andrew, Sarah has no idea of the dangerous game she has begun. She is about to find out who her lover really is, and Andrew is about to discover how unforgiving and relentless her husband can be.Criminal Conversation is a gripping novel of sex, passion, and violence, set against a backdrop of a society tattered by criminality. From victims to predators, from foot soldiers to kingpins, Evan Hunter spins a masterly tale that no one - not even Ed McBain - could do better: an explosive and erotic novel of psychosexual suspense."," Fiction , General"
8552,"Seize the Fire: Heroism, Duty, and the Battle of Trafalgar","By Nicolson, Adam","In Seize the Fire, Adam Nicolson, author of the widely acclaimed God's Secretaries, takes the great naval battle of Trafalgar, fought between the British and Franco-Spanish fleets in October 1805, and uses it to examine our idea of heroism and the heroic. Is violence a necessary aspect of the hero? And daring? Why did the cult of the hero flower in the late eighteenth and nineteenth centuries in a way it hadn't for two hundred years? Was the figure of Nelson—intemperate, charming, theatrical, anxious, impetuous, considerate, indifferent to death and danger, inspirational to those around him, and, above all, fixed on attack and victory—an aberration in Enlightenment England? Or was the greatest of all English military heroes simply the product of his time, ""the conjurer of violence"" that England, at some level, deeply needed?It is a story rich with modern resonance. This was a battle fought for the control of a global commercial empire. It was won by the emerging British world power, which was widely condemned on the continent of Europe as ""the arrogant usurper of the freedom of the seas."" Seize the Fire not only vividly describes the brutal realities of battle but enters the hearts and minds of the men who were there; it is a portrait of a moment, a close and passionately engaged depiction of a frame of mind at a turning point in world history."," Biography & Autobiography , Military"
8553,The Space Tourist's Handbook,"By Piven, Joshua and Anderson, Eric","Your Guide to the Final Frontier    This illustrated handbook features everything you need to know about space tourism—from travel-planning tips to life-or-death survival skills. You’ll discover:  •  The Best ItinerariesTake stunning photographs of planet Earth—from sixty miles up. Dance on the ceiling in zero-gravitynenvironments. Take a “shower” using nothing but baby wipes. As a space tourist, you’ll enjoy all of these activities and plenty more.•  The Best DestinationsExotic, exciting, and always spotlessly clean, these are the places every space tourist wants to visit. From Earth’s Moon to the International Space Station, here’s all you need to know about accommodations, menus, weather, walking tours, and more.•  The Best VehiclesFrom MiG-25 aircrafts to Soyuz-FG launch vehicles, these are the most comfortable rides in the universe. Whether you’re planning a week-long expedition or a simple sub-orbital loop, we’ll make sure you have plenty of leg room.•  The Best Travel TipsHow to get there and get around When to go What to packWhat to do in a water landing The ejector seat: How does it work? And other essential skills.                       With The Space Tourist’s Handbook, you’ll find everything you need to plan the ultimate space vacation. Don’t leave Earth without it!"," Science , Astronomy"
8554,Atkins for Life: The Complete Controlled Carb Program for Permanent Weight Loss and Good Health,"By Atkins, Robert C., M.D.","Taking it to the Next LevelWhether you've lost weight doing Atkins and want to make your success permanent or you're new to Atkins and are concerned about your health and weight control, Atkins for Life is for you. Filled with advice and tips on navigating the everyday challenges that come with eating low carb in a high carb world, the bookprovides a simple and straightforward lifetime program that anyone can follow. With Atkins for Life, finding your ideal weight and staying there has never been so easy or so good!Dig In And Discover:-200 menu plans-that adds up to over six months of menus! With controlled carbohydrate counts of 45, 60, 80, and 100 grams, anyone can succeed on the plan.-125 recipes, including tasty breakfasts, fabulous lunches, delicious dinners, and smart snacks. - How to create special holiday meals and fantastic ethnic cuisines ... the low carb way!- Before and after photos and success stories -with time-tested tips from those who've been there and won their battle with weight.- Self-tests and quizzes to help you meet and stay with your goals."," Self-help , General"
8555,The War at Home: The Domestic Costs of Bush's Militarism,"By Piven, Frances Fox","The bestselling political thinker analyzes the impact of the Iraq War on domestic policy. The overwhelming attention paid to America's imperial posture overseas has turned our eyes away from a crucial dimension of belligerent foreign policy: the domestic politics of war. Frances Fox Piven, one of the country's most celebrated social scientists, raises questions others have not. She examines the ways the war on terror served to shore up the Bush administration's political base and analyzes the manner in which flag-waving politicians used the emotional fog of war to further their regressive social and economic agendas. In the past, governments tried to reward their citizens for their costly sacrifices in blood and money. During World War II, tax rates on the wealthy rose to 90 percent; toward the end of the Vietnam War, eighteen-year-olds were given the right to vote. In this war, by contrast, democratic rights are being rolled back and taxes on the rich have been slashed. Even veterans' benefits have been sharply reduced. The War at Home makes sense of these developments by putting the current domestic fallout of war in the context of history and by turning an unsentimental eye on the domestic motivations of American militarism."," Political Science , Public Policy , General"
8556,sex.lies.murder.fame.: A Novel,"By Files, Lolita","In sex.lies.murder.fame., Lolita Files delivers a sizzling satire set against the affluence and sensuality of the literary and music worlds that explores the outrageous lengths to which three devout fame-chasers will go to seek their fortune.Fame is a b*#%$. And when boy meets b*#%$, nothing can keep the two of them apart. Penn Hamilton is young, brilliant, beautiful, and ready to take on the world and claim his rightful place in the midst of celebrity. As a Writer. Rapper. Model. God. Unfortunately, the world is not quite ready for him. When Penn writes what he believes to be the ""Great American Literary Blockbuster,"" he's rebuffed at every turn. Faced with ridicule, rejection, and mounting resentment, he decides to fight back using his assets -- rock-star looks, genius IQ, and killer charm.Beryl Unger is a rising star in the publishing world, editor to literati and glitterati alike. Single, plain, obsessive, a bit on the dreamy side, she's a train wreck waiting to happen, and easy prey for a beautiful man with a seductive plan. When Penn meets Beryl, sparks fly. And sparks fly even higher when he meets the breathtaking superstar romance author Sharlyn Tate.Two women, one man. A man with no boundaries, who will stop short at nothing -- even brutal, vicious murder -- to fulfill his desperate ambition. Lolita Files is the author of the bestselling Child of God, which has been optioned as a feature film by Kanye West. Files has a degree in broadcast journalism and lives outside of Los Angeles, where she is currently developing projects for television and film."," Fiction , General"
8557,The Next Big Thing,"By Edwards, Johanna","In this funny, poignant debut, a plus-size heroine becomes a reality TV show contestant and discovers she's already beautiful enough to be the next big thing.Kat Larson figured she had nothing to lose by becoming a contestant on the new reality show From Fat to Fabulous-except maybe a few dozen pounds. Then she'd finally be able to arrange a face-to-face meeting with Nick, the British hunk she met online, who still thinks she's a size four. She'd finally be confident and graceful and thin-and there's that big cash prize, too, to pay for all those slinky new clothes she'd need. She'd finally have the perfect life."," Fiction , Romance , General"
8558,"Shine: A Physical, Emotional, and Spiritual Journey to Finding Love","By Jones, Star","Star Jones Reynolds had done it all. College on scholarship, law school on loans, and life by faith. She had achieved a prestigious career as a lawyer and prosecutor, provided much-needed calm and insight while reporting the Rodney King and O. J. Simpson trials on television, and landed a spot cohosting one of America's most popular daytime television shows, The View. Then why was she feeling so down?It all began when Star took a close look at herself and her life and realized she wasn't happy with what she saw: obesity precluded her from crossing her legs, she needed an asthma inhaler, she couldn't fasten her own necklace, and, worst of all, she got too tired to shop -- a disaster because Star Jones Reynolds is a seriously committed shopper.Then she realized something else: with all her extraordinary accomplishments, none of it mattered without true love. Thinking long and hard, she finally understood that she hadn't yet met the man of her dreams because she wasn't ready for him.Star decided to make it happen. She began a personal journey to reconstitute her physical look, emotional state, and already strong spirituality. Even if she didn't find love, it would be a win-win situation because she'd emerge from the experience a healthier, happier woman -- one who could truly shine. Unless you live on another planet, you know Star succeeded in her quest and did find true love -- and it wasn't that hard at all. In Shine, she shares it all in her wise, revealing, irreverent, laugh-out-loud style.Shine is divided into three main sections, each exploring core issues of interest to women. Part One guides women toward being their most attractive physical selves using Star's personal secrets on losing weight and finding hair, fashion, and makeup chic (inexpensively). Part Two asks tough questions about emotional preparedness for a relationship and shows you how to think like lawyers, and how to get your financial and emotional houses in order. Part Three delves into a woman's spiritual life -- discover how to talk to God no matter what your religion. Spiking the book are Star's ""absolutes"" -- truisms that have always worked for her and continue to give her guidance -- quizzes and self-assessment exercises that will help you focus on your particular strengths and weaknesses.Everyone knows Star Jones Reynolds is a success story, a happy, rough-edges-to-emotional-and-financial-riches tale. Until you read this book, you won't know how she got there -- and how you can echo her triumphs and shine."," Self-help , Personal Growth , General"
8559,I Spy Mystery: A Book of Picture Riddles,"By Marzollo, Jean, Wick, Walter (PHT), and Wick, Walter (ILT)","Search-and-find riddles paired with amazing photographs will captivate kids of all ages in the bestselling I Spy series.Acclaimed I Spy creators Walter Wick and Jean Marzollo use everyday objects to enhance intellectual discovery.From a cluttered attic to a sea of marbles, readers can examine the different objects, solve the picture riddles, and become an I Spy detective!A perfect fit for STEAM curriculum."," Juvenile Nonfiction , Games & Activities , Puzzles"
8560,Taylor's Guide to Gardening in the South (Taylor's Weekend Gardening Guides),"By Buchanan, Rita and Holmes, Roger (EDT)","The Southern region of America is diverse and often unpredictable. It offers all types of terrain and climate, with everything from a coastal region to rocky mountain terrain. This guide demonstrates the best ways to plan and plant a garden in the South and similar regions everywhere."," Gardening , General"
8561,"Rice, the Amazing Grain: Great Rice Dishes for Every Day","By Simmons, Marie","Defines and describes the many new rices available in supermarkets, explores the history, growing, and processing of rice, and offers more than 160 recipes that use rice with or in soups, salads, fruit, herbs, poultry, meat, and fish"," Cooking , Specific Ingredients , Rice & Grains"
8562,The House of Power (English and Arabic Edition),"By Bindari, Sami","Saleh, the son of a village idealist, endures the petty cruelties of local bureaucrats until long-buried resentments finally erupt, dividing the village society and forcing Saleh into a desperate flight across the desert"," Fiction , General"
8563,"Cassell's Spanish Dictionary, Concise Edition","By Walker, Roger M. (COM), Harvey, L. P., and Dutton, Brian (COM)","The eminence of Cassell dictionaries has been established over more than a century of dictionary publishing. Cassell&#39;s accumulated experience in such a highly specialized field has been accompanied by unceasing vigilance to maintain the high standard for which it is world-famous. Cassell&#39;s Concise Spanish Dictionary has been specially compiled to provide in compact form the words most frequently used in normal speech and literature, incorporating literary and poetic terms recurrent in classical, literary Spanish. It embodies common idiomatic expressions and includes Latin-American terms. Verb tables are provided in both languages."," Foreign Language Study , Multi-Language Dictionaries"
8564,Gods and Goddesses: A Treasury of Deities and Tales from World Mythology,"By Hallam, Elizabeth (EDT)","Gods and Goddesses presents a treasury of more than 130 deities and highlights their special functions and spheres of influence. Drawn from the religious traditions of classical Greece and contemporary India, the Americas and Oceania, Europe and eastern Asia, Africa and ancient Egypt, they reflect our deep need for a spiritual dimension to our everyday lives - and also demonstrate, in the legends that surround them, how men and women have created divine beings in their own image.With more than 200 illustrations selected from the wealth of art that the deities have inspired, this unique reference book will fascinate and delight all who are intrigued by gods and goddesses and the part they have played - and still play - in the cultural history of humankind."," Social Science , Folklore & Mythology"
8565,The Best Family Slow Cooker Recipes,"By Pye, Donna-Marie","Delicious slow cooker recipes created especially for busy families.    A slow cooker is the perfect appliance for families who want good, nutritious food with a minimum of effort. Simply throw a few ingredients into the slow cooker in the morning and your family can come home at the end of the day to a hot, satisfying meal.    The Best Family Slow Cooker Recipes features 125 easy, imaginative and delicious recipes -- each tested for dependability:   Lunch box planning is a snap with Vegetarian Chili, Cheesy Pesto Pasta, Meaty Minestrone and Raspberry Cobbler  Everyday family meals become an event with Brunswick Stew, Ginger Beef and Broccoli, Italian-Style Stuffed Peppers or Johnnycake            Cornbread  The next pot luck will be a hit by including Pepperoni Pizza Chili, Oktoberfest Hot German Potato Salad or Homestyle Barbecued Ribs  A sweet slow cooker desert surprise awaits you with Double Chocolate Caramel Bread Pudding, Brown Sugar and Coconut Baked Apples or Raspberry Cobbler    The Best Family Slow Cooker Recipes also offers detailed information on slow-cooker techniques, serving suggestions and kitchen tips."," Cooking , Courses & Dishes , Soups & Stews"
